Decision_Date,Case_Status,Class_of_Admission
2/21/14 0:00,Certified-Expired,H-1B
10/28/13 0:00,Certified-Expired,H-1B
1/8/14 0:00,Certified-Expired,H-1B
5/22/14 0:00,Certified,H-1B
10/24/13 0:00,Certified-Expired,H-1B
3/28/14 0:00,Certified-Expired,H-1B
5/28/14 0:00,Certified,H-1B
3/13/14 0:00,Certified-Expired,H-1B
3/26/14 0:00,Certified-Expired,H-1B
5/14/14 0:00,Certified,H-1B
3/25/14 0:00,Certified-Expired,H-1B
2/24/14 0:00,Certified-Expired,H-1B
1/6/14 0:00,Certified-Expired,H-1B
3/4/14 0:00,Certified-Expired,H-1B
1/7/14 0:00,Certified-Expired,H-1B
1/23/14 0:00,Certified-Expired,H-1B
1/21/14 0:00,Certified-Expired,H-1B
11/25/13 0:00,Certified-Expired,H-1B
2/20/14 0:00,Certified-Expired,H-1B
1/27/14 0:00,Certified-Expired,H-1B
1/28/14 0:00,Certified-Expired,H-1B
1/31/14 0:00,Certified-Expired,H-1B
12/16/13 0:00,Certified-Expired,H-1B
4/15/14 0:00,Certified,H-1B
4/21/14 0:00,Certified,H-1B
4/3/14 0:00,Certified-Expired,H-1B
4/2/14 0:00,Certified-Expired,H-1B
3/26/14 0:00,Certified-Expired,H-1B
3/21/14 0:00,Certified-Expired,H-1B
3/28/14 0:00,Certified-Expired,H-1B
3/19/14 0:00,Certified-Expired,H-1B
3/20/14 0:00,Certified-Expired,H-1B
3/26/14 0:00,Certified-Expired,H-1B
4/23/14 0:00,Certified,H-1B
4/14/14 0:00,Certified,H-1B
5/12/14 0:00,Certified,H-1B
3/10/14 0:00,Certified-Expired,H-1B
4/7/14 0:00,Certified,H-1B
3/27/14 0:00,Certified-Expired,H-1B
4/16/14 0:00,Certified,H-1B
4/18/14 0:00,Certified,H-1B
4/14/14 0:00,Certified,H-1B
3/6/14 0:00,Certified-Expired,H-1B
3/4/14 0:00,Certified-Expired,H-1B
4/4/14 0:00,Certified,H-1B
3/19/14 0:00,Certified-Expired,H-1B
3/13/14 0:00,Certified-Expired,H-1B
3/24/14 0:00,Certified-Expired,H-1B
3/31/14 0:00,Certified-Expired,H-1B
3/21/14 0:00,Certified-Expired,H-1B
3/13/14 0:00,Certified-Expired,H-1B
3/18/14 0:00,Certified-Expired,H-1B
3/10/14 0:00,Certified-Expired,H-1B
3/11/14 0:00,Certified-Expired,H-1B
4/15/14 0:00,Certified,H-1B
4/29/14 0:00,Certified,H-1B
6/10/14 0:00,Certified,H-1B
4/17/14 0:00,Certified,H-1B
3/13/14 0:00,Certified-Expired,H-1B
4/15/14 0:00,Certified,H-1B
3/10/14 0:00,Certified-Expired,H-1B
4/9/14 0:00,Certified,H-1B
3/19/14 0:00,Certified-Expired,H-1B
3/11/14 0:00,Certified-Expired,H-1B
3/4/14 0:00,Certified-Expired,H-1B
3/13/14 0:00,Certified-Expired,H-1B
4/4/14 0:00,Certified,H-1B
3/18/14 0:00,Certified-Expired,H-1B
5/30/14 0:00,Certified,H-1B
3/28/14 0:00,Certified-Expired,H-1B
3/24/14 0:00,Certified-Expired,H-1B
3/11/14 0:00,Certified-Expired,H-1B
