DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
4/7/10,Withdrawn,H-1B
12/2/09,Certified-Expired,H-1B
10/28/09,Certified-Expired,H-1B
10/16/09,Denied,H-1B
8/4/10,Denied,H-1B
1/21/10,Certified-Expired,H-1B
3/30/10,Certified-Expired,H-1B
5/3/10,Certified,H-1B
7/20/10,Certified,H-1B
11/27/09,Certified-Expired,H-1B
11/18/09,Certified-Expired,H-1B
3/10/10,Certified-Expired,H-1B
2/18/10,Certified-Expired,H-1B
12/4/09,Certified-Expired,H-1B
3/17/10,Certified-Expired,H-1B
2/5/10,Certified-Expired,H-1B
3/25/10,Certified-Expired,H-1B
5/13/10,Certified,H-1B
5/14/10,Certified,H-1B
11/17/09,Certified-Expired,H-1B
7/26/10,Certified,H-1B
5/11/10,Certified,H-1B
5/24/10,Certified,H-1B
5/24/10,Withdrawn,H-1B
10/15/09,Certified-Expired,H-1B
9/22/10,Certified,H-1B
3/24/10,Certified-Expired,H-1B
2/3/10,Certified-Expired,H-1B
12/24/09,Certified-Expired,H-1B
3/26/10,Withdrawn,H-1B
8/16/10,Certified,H-1B
1/20/10,Certified-Expired,H-1B
10/8/09,Denied,H-1B
1/27/10,Denied,H-1B
3/31/10,Withdrawn,H-1B
2/4/10,Certified-Expired,H-1B
4/6/10,Certified-Expired,H-1B
5/27/10,Certified,H-1B
5/24/10,Certified,H-1B
4/1/10,Certified-Expired,H-1B
3/16/10,Certified-Expired,H-1B
9/30/10,Certified,H-1B
4/13/10,Certified,H-1B
5/20/10,Certified,H-1B
2/2/10,Certified-Expired,H-1B
5/18/10,Certified,H-1B
11/23/09,Certified-Expired,H-1B
12/3/09,Certified-Expired,H-1B
10/26/09,Withdrawn,H-1B
7/20/10,Certified,H-1B
11/18/09,Certified-Expired,H-1B
9/17/10,Certified,H-1B
1/12/10,Certified-Expired,H-1B
11/13/09,Certified-Expired,H-1B
1/26/10,Certified-Expired,H-1B
3/16/10,Certified-Expired,H-1B
4/27/10,Denied,H-1B
10/2/09,Denied,H-1B
10/22/09,Denied,H-1B
2/12/10,Denied,H-1B
7/19/10,Denied,H-1B
11/18/09,Denied,H-1B
7/22/10,Denied,H-1B
5/19/10,Certified,H-1B
11/20/09,Denied,H-1B
7/14/10,Denied,H-1B
1/14/10,Certified-Expired,H-1B
8/24/10,Certified,H-1B
3/26/10,Certified-Expired,H-1B
2/2/10,Denied,H-1B
11/19/09,Certified-Expired,H-1B
12/23/09,Denied,H-1B
5/14/10,Certified,H-1B
10/23/09,Certified-Expired,H-1B
11/5/09,Certified-Expired,H-1B
6/3/10,Certified,H-1B
4/13/10,Certified,H-1B
5/21/10,Certified,H-1B
11/6/09,Certified-Expired,H-1B
12/22/09,Certified-Expired,H-1B
11/25/09,Withdrawn,H-1B
5/17/10,Certified,H-1B
3/29/10,Certified-Expired,H-1B
10/2/09,Denied,H-1B
5/18/10,Certified,H-1B
1/20/10,Certified-Expired,H-1B
10/23/09,Certified-Expired,H-1B
2/2/10,Denied,H-1B
3/18/10,Certified-Expired,H-1B
10/15/09,Certified-Expired,H-1B
10/19/09,Denied,H-1B
2/3/10,Certified-Expired,H-1B
3/31/10,Certified-Expired,H-1B
11/13/09,Withdrawn,H-1B
8/11/10,Certified,H-1B
3/31/10,Denied,H-1B
5/5/10,Certified,H-1B
12/2/09,Certified-Expired,H-1B
4/12/10,Certified,H-1B
3/31/10,Certified-Expired,H-1B
10/1/09,Withdrawn,H-1B
2/3/10,Certified-Expired,H-1B
8/23/10,Certified,H-1B
3/11/10,Certified-Expired,H-1B
5/21/10,Certified,H-1B
2/9/10,Certified-Expired,H-1B
12/4/09,Certified-Expired,H-1B
11/17/09,Certified-Expired,H-1B
1/26/10,Certified-Expired,H-1B
12/22/09,Certified-Expired,H-1B
2/8/10,Certified-Expired,H-1B
1/20/10,Certified-Expired,H-1B
2/2/10,Certified-Expired,H-1B
10/21/09,Denied,H-1B
1/11/10,Denied,H-1B
1/12/10,Withdrawn,H-1B
1/12/10,Certified-Expired,H-1B
10/21/09,Certified-Expired,H-1B
12/24/09,Certified-Expired,H-1B
12/2/09,Certified-Expired,H-1B
11/16/09,Denied,H-1B
1/8/10,Certified-Expired,H-1B
6/22/10,Certified,H-1B
11/25/09,Certified-Expired,H-1B
10/22/09,Denied,H-1B
2/26/10,Certified-Expired,H-1B
12/17/09,Certified-Expired,H-1B
12/31/09,Certified-Expired,H-1B
10/19/09,Certified-Expired,H-1B
11/12/09,Certified-Expired,H-1B
9/2/10,Denied,H-1B
12/28/09,Certified-Expired,H-1B
10/21/09,Certified-Expired,H-1B
12/3/09,Denied,H-1B
2/4/10,Certified-Expired,H-1B
7/1/10,Certified,H-1B
2/23/10,Certified-Expired,H-1B
5/27/10,Withdrawn,H-1B
2/11/10,Certified-Expired,H-1B
5/14/10,Certified,H-1B
5/13/10,Certified,H-1B
4/13/10,Certified,H-1B
10/21/09,Certified-Expired,H-1B
2/23/10,Denied,H-1B
5/11/10,Certified,H-1B
11/19/09,Certified-Expired,H-1B
10/19/09,Certified-Expired,H-1B
10/27/09,Certified-Expired,H-1B
11/18/09,Certified-Expired,H-1B
10/7/09,Certified-Expired,H-1B
12/11/09,Certified-Expired,H-1B
6/30/10,Certified,H-1B
11/5/09,Certified-Expired,H-1B
1/4/10,Certified-Expired,H-1B
10/29/09,Certified-Expired,H-1B
10/7/09,Certified-Expired,H-1B
11/16/09,Denied,H-1B
10/26/09,Certified-Expired,H-1B
1/8/10,Certified-Expired,H-1B
10/21/09,Certified-Expired,H-1B
12/1/09,Certified-Expired,H-1B
12/31/09,Certified-Expired,H-1B
12/18/09,Certified-Expired,H-1B
10/14/09,Certified-Expired,H-1B
10/8/09,Certified-Expired,H-1B
4/9/10,Certified-Expired,H-1B
10/2/09,Denied,H-1B
5/28/10,Certified,H-1B
1/14/10,Certified-Expired,H-1B
10/20/09,Certified-Expired,H-1B
10/8/09,Certified-Expired,H-1B
1/25/10,Certified-Expired,H-1B
5/11/10,Certified,H-1B
10/21/09,Denied,H-1B
10/2/09,Denied,H-1B
2/22/10,Certified-Expired,H-1B
12/18/09,Certified-Expired,H-1B
1/7/10,Certified-Expired,H-1B
10/1/09,Withdrawn,H-1B
1/26/10,Certified-Expired,H-1B
11/18/09,Certified-Expired,H-1B
12/15/09,Certified-Expired,H-1B
5/27/10,Certified,H-1B
11/17/09,Certified-Expired,H-1B
10/13/09,Denied,H-1B
7/9/10,Denied,H-1B
10/9/09,Certified-Expired,H-1B
1/26/10,Certified-Expired,H-1B
10/8/09,Certified-Expired,H-1B
11/2/09,Denied,H-1B
7/1/10,Certified,H-1B
10/29/09,Certified-Expired,H-1B
11/13/09,Withdrawn,H-1B
3/2/10,Denied,H-1B
1/22/10,Certified-Expired,H-1B
11/25/09,Certified-Expired,H-1B
8/2/10,Certified,H-1B
10/26/09,Certified-Expired,H-1B
1/26/10,Certified-Expired,H-1B
1/27/10,Certified-Expired,H-1B
3/29/10,Certified-Expired,H-1B
1/7/10,Certified-Expired,H-1B
3/24/10,Certified-Expired,H-1B
2/19/10,Certified-Expired,H-1B
12/30/09,Certified-Expired,H-1B
10/15/09,Certified-Expired,H-1B
1/22/10,Certified-Expired,H-1B
12/15/09,Certified-Expired,H-1B
12/4/09,Certified-Expired,H-1B
1/11/10,Certified-Expired,H-1B
5/20/10,Certified,H-1B
1/22/10,Certified-Expired,H-1B
10/5/09,Certified-Expired,H-1B
10/22/09,Certified-Expired,H-1B
10/2/09,Certified-Expired,H-1B
11/17/09,Denied,H-1B
10/20/09,Denied,H-1B
11/17/09,Denied,H-1B
11/17/09,Certified-Expired,H-1B
2/22/10,Denied,H-1B
11/5/09,Certified-Expired,H-1B
2/2/10,Certified-Expired,H-1B
11/2/09,Certified-Expired,H-1B
10/20/09,Denied,H-1B
10/1/09,Certified-Expired,H-1B
11/17/09,Certified-Expired,H-1B
11/23/09,Denied,H-1B
11/20/09,Denied,H-1B
11/17/09,Certified-Expired,H-1B
2/18/10,Certified-Expired,H-1B
1/29/10,Certified-Expired,H-1B
11/20/09,Denied,H-1B
5/19/10,Denied,H-1B
11/24/09,Certified-Expired,H-1B
3/11/10,Certified-Expired,H-1B
2/8/10,Certified-Expired,H-1B
9/3/10,Denied,H-1B
5/11/10,Certified,H-1B
10/22/09,Certified-Expired,H-1B
2/11/10,Certified-Expired,H-1B
1/4/10,Certified-Expired,H-1B
12/30/09,Certified-Expired,H-1B
11/10/09,Withdrawn,H-1B
10/8/09,Certified-Expired,H-1B
5/17/10,Certified,H-1B
4/13/10,Certified,H-1B
7/8/10,Denied,H-1B
2/11/10,Certified-Expired,H-1B
11/2/09,Denied,H-1B
1/22/10,Certified-Expired,H-1B
10/8/09,Certified-Expired,H-1B
1/4/10,Denied,H-1B
10/9/09,Certified-Expired,H-1B
1/22/10,Certified-Expired,H-1B
10/5/09,Certified-Expired,H-1B
11/16/09,Certified-Expired,H-1B
12/22/09,Certified-Expired,H-1B
3/19/10,Certified-Expired,H-1B
10/5/09,Certified-Expired,H-1B
12/14/09,Certified-Expired,H-1B
11/24/09,Denied,H-1B
11/3/09,Certified-Expired,H-1B
11/16/09,Certified-Expired,H-1B
4/7/10,Certified-Expired,H-1B
11/20/09,Denied,H-1B
2/16/10,Certified-Expired,H-1B
11/19/09,Certified-Expired,H-1B
8/25/10,Certified,H-1B
12/22/09,Certified-Expired,H-1B
3/9/10,Certified-Expired,H-1B
10/8/09,Certified-Expired,H-1B
10/27/09,Certified-Expired,H-1B
12/7/09,Certified-Expired,H-1B
10/14/09,Certified-Expired,H-1B
2/1/10,Certified-Expired,H-1B
1/12/10,Certified-Expired,H-1B
3/4/10,Denied,H-1B
12/16/09,Certified-Expired,H-1B
12/3/09,Certified-Expired,H-1B
1/21/10,Certified-Expired,H-1B
11/6/09,Denied,H-1B
10/9/09,Certified-Expired,H-1B
11/4/09,Certified-Expired,H-1B
