DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
4/3/12,Certified-Expired,H-1B
9/24/12,Denied,H-1B
3/8/12,Denied,H-1B
12/16/11,Certified-Expired,H-1B
2/6/12,Denied,H-1B
6/19/12,Denied,H-1B
4/11/12,Withdrawn,H-1B
12/1/11,Denied,H-1B
12/13/11,Denied,H-1B
4/24/12,Certified-Expired,H-1B
7/18/12,Certified-Expired,H-1B
10/6/11,Denied,H-1B
12/29/11,Certified-Expired,H-1B
2/21/12,Denied,H-1B
12/12/11,Denied,H-1B
3/13/12,Denied,H-1B
10/25/11,Denied,H-1B
10/25/11,Denied,H-1B
12/12/11,Denied,H-1B
11/21/11,Denied,H-1B
11/21/11,Denied,H-1B
2/6/12,Denied,H-1B
1/9/12,Certified-Expired,H-1B
12/7/11,Certified-Expired,H-1B
11/21/11,Denied,H-1B
4/27/12,Certified-Expired,H-1B
1/24/12,Denied,H-1B
10/28/11,Denied,H-1B
6/12/12,Denied,H-1B
6/14/12,Denied,H-1B
10/25/11,Denied,H-1B
3/29/12,Denied,H-1B
11/29/11,Denied,H-1B
3/26/12,Denied,H-1B
10/17/11,Denied,H-1B
10/6/11,Denied,H-1B
2/10/12,Denied,H-1B
10/14/11,Denied,H-1B
3/27/12,Denied,H-1B
3/27/12,Denied,H-1B
3/26/12,Denied,H-1B
10/3/11,Denied,H-1B
11/15/11,Denied,H-1B
3/27/12,Denied,H-1B
12/12/11,Denied,H-1B
12/20/11,Denied,H-1B
2/13/12,Denied,H-1B
10/11/11,Denied,H-1B
10/7/11,Denied,H-1B
10/25/11,Denied,H-1B
3/27/12,Denied,H-1B
10/21/11,Denied,H-1B
11/7/11,Denied,H-1B
12/5/11,Denied,H-1B
4/24/12,Denied,H-1B
12/12/11,Denied,H-1B
12/12/11,Denied,H-1B
11/21/11,Denied,H-1B
2/7/12,Denied,H-1B
3/27/12,Denied,H-1B
11/29/11,Denied,H-1B
3/20/12,Denied,H-1B
3/26/12,Denied,H-1B
10/28/11,Denied,H-1B
3/27/12,Denied,H-1B
8/14/12,Denied,H-1B
4/9/12,Denied,H-1B
10/3/11,Denied,H-1B
11/7/11,Denied,H-1B
10/28/11,Denied,H-1B
2/28/12,Denied,H-1B
6/26/12,Denied,H-1B
6/26/12,Denied,H-1B
12/15/11,Denied,H-1B
10/4/11,Denied,H-1B
10/6/11,Denied,H-1B
10/3/11,Denied,H-1B
3/6/12,Denied,H-1B
3/28/12,Denied,H-1B
11/1/11,Denied,H-1B
10/28/11,Denied,H-1B
10/28/11,Denied,H-1B
2/28/12,Denied,H-1B
11/1/11,Denied,H-1B
10/3/11,Denied,H-1B
3/27/12,Denied,H-1B
6/14/12,Denied,H-1B
7/5/12,Certified-Expired,H-1B
10/6/11,Denied,H-1B
12/12/11,Denied,H-1B
11/15/11,Denied,H-1B
12/1/11,Denied,H-1B
10/11/11,Denied,H-1B
12/1/11,Certified-Expired,H-1B
4/9/12,Denied,H-1B
3/5/12,Certified-Expired,H-1B
10/4/11,Denied,H-1B
10/25/11,Denied,H-1B
12/15/11,Denied,H-1B
6/14/12,Denied,H-1B
10/11/11,Denied,H-1B
10/17/11,Denied,H-1B
5/17/12,Denied,H-1B
5/17/12,Denied,H-1B
10/7/11,Certified-Expired,H-1B
11/15/11,Denied,H-1B
1/24/12,Denied,H-1B
2/21/12,Denied,H-1B
11/22/11,Denied,H-1B
10/6/11,Denied,H-1B
4/24/12,Denied,H-1B
1/24/12,Denied,H-1B
2/29/12,Certified-Expired,H-1B
4/24/12,Denied,H-1B
10/11/11,Denied,H-1B
10/7/11,Denied,H-1B
1/24/12,Denied,H-1B
12/15/11,Denied,H-1B
7/17/12,Denied,H-1B
11/14/11,Denied,H-1B
11/30/11,Denied,H-1B
10/11/11,Denied,H-1B
10/3/11,Denied,H-1B
1/11/12,Denied,H-1B
1/11/12,Denied,H-1B
1/11/12,Denied,H-1B
1/10/12,Denied,H-1B
1/11/12,Denied,H-1B
1/11/12,Denied,H-1B
7/31/12,Denied,H-1B
1/24/12,Denied,H-1B
12/29/11,Denied,H-1B
